"spouse_candidate.R0.p1_id";"person_mention.R1.begin_index";"person_mention.R1.end_index";"spouse_candidate.R0.p2_id";"person_mention.R2.begin_index";"person_mention.R2.end_index";"person_mention.R1.doc_id";"person_mention.R1.sentence_index";"sentences.R3.sentence_text";"sentences.R3.tokens";"sentences.R3.lemmas";"sentences.R3.pos_tags";"sentences.R3.ner_tags";"sentences.R3.dep_types";"sentences.R3.dep_tokens"
"06cbec83da62216d_1_33_33";33;33;"06cbec83da62216d_1_37_37";37;37;"06cbec83da62216d";1;"和讯股票（微信号：istocknews）消息 7月11日晚间，名传股份发布公告称，公司董事会于 2017 年 7 月 7 日收到董事兼总经理司国春先生、董事长曹芳芳女士递交的辞职申请书。";"{和,讯,股票,（,微,信号,：,istocknews,）,消息,7月,11日,晚间,，,名传,股份,发布,公告,称,，,公司,董事会,于,2017,年,7,月,7,日,收到,董事,兼,总经理,司国春,先生,、,董事长,曹芳芳,女士,递交,的,辞职,申请书,。}";"{和,讯,股票,（,微,信号,：,istocknew,）,消息,7月,11日,晚间,，,名传,股份,发布,公告,称,，,公司,董事会,于,2017,年,7,月,7,日,收到,董事,兼,总经理,司国春,先生,、,董事长,曹芳芳,女士,递交,的,辞职,申请书,。}";"{P,NN,NN,PU,AD,NN,PU,NN,PU,NN,NT,NT,NT,PU,NR,NN,VV,NN,VV,PU,NN,NN,P,CD,M,CD,M,CD,M,VV,NN,CC,NN,NR,NN,PU,NN,NR,NN,VV,DEC,NN,NN,PU}";"{O,O,O,O,O,O,O,O,O,O,MISC,MISC,MISC,O,O,O,O,O,O,O,O,O,O,MISC,MISC,MISC,MISC,MISC,MISC,O,O,O,O,PERSON,O,O,O,PERSON,O,O,O,O,O,O}";"{case,nn,dep,"""",advmod,dep,"""",nn,"""",nn,nn,nn,prep,"""",nn,nsubj,"""",dobj,conj,"""",nn,nsubj,case,nummod,clf,nummod,clf,nummod,prep,ccomp,conj,cc,nn,nn,conj,"""",nn,nn,nsubj,relcl,mark,nn,dobj,""""}";"{13,3,8,0,8,8,0,10,0,13,13,13,17,0,16,17,0,17,17,0,22,30,29,25,29,27,29,29,30,19,33,33,43,37,37,0,39,39,40,43,40,43,30,0}"
"06cbec83da62216d_2_0_0";0;0;"06cbec83da62216d_2_2_2";2;2;"06cbec83da62216d";2;"司国春、曹芳芳系夫妻关系，因个人原因，申请辞去现有职务。";"{司国春,、,曹芳芳,系,夫妻,关系,，,因,个人,原因,，,申请,辞去,现有,职务,。}";"{司国春,、,曹芳芳,系,夫妻,关系,，,因,个人,原因,，,申请,辞去,现有,职务,。}";"{NR,PU,NR,NN,NN,NN,PU,P,NN,NN,PU,VV,VV,JJ,NN,PU}";"{PERSON,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O,O}";"{conj,"""",nn,nn,nn,nsubj,"""",case,nn,prep,"""",mmod,"""",amod,dobj,""""}";"{3,0,4,6,6,13,0,10,10,13,0,13,0,15,13,0}"
"3972d90ba16c12ce_2_17_17";17;17;"3972d90ba16c12ce_2_19_19";19;19;"3972d90ba16c12ce";2;"在富春江镇七里泷大街上，一家五金店铺门口，记者见到了钱樟英、王立夷夫妻。";"{在,富春江,镇,七里泷,大街,上,，,一,家,五,金,店铺,门口,，,记者,见到,了,钱樟英,、,王立,夷,夫妻,。}";"{在,富春江,镇,七里泷,大街,上,，,一,家,五,金,店铺,门口,，,记者,见到,了,钱樟英,、,王立,夷,夫妻,。}";"{P,NR,NN,NR,NN,LC,PU,CD,M,CD,NN,NN,NN,PU,NN,VV,AS,NR,PU,NR,VV,NN,PU}";"{O,LOC,O,MISC,MISC,O,O,MISC,O,MISC,O,O,O,O,O,O,O,PERSON,O,PERSON,O,O,O}";"{case,nn,assmod,dep,prep,case,"""",nummod,clf,nummod,nn,nn,nsubj,"""",nsubj,"""",asp,conj,"""",nsubj,ccomp,dobj,""""}";"{5,3,5,3,16,5,0,9,13,11,13,13,16,0,16,0,16,20,0,21,16,21,0}"
"5ee1175667e702e1_2_17_17";17;17;"5ee1175667e702e1_2_5_5";5;5;"5ee1175667e702e1";2;"本案中，由于张先生与王女士的女儿不到两周岁，而王女士又是孩子的母亲，且有稳定工作。";"{本,案,中,，,由于,张,先生,与,王,女士,的,女儿,不到,两,周岁,，,而,王,女士,又,是,孩子,的,母亲,，,且,有,稳定,工作,。}";"{本,案,中,，,由于,张,先生,与,王,女士,的,女儿,不到,两,周岁,，,而,王,女士,又,是,孩子,的,母亲,，,且,有,稳定,工作,。}";"{DT,NN,LC,PU,P,NR,NN,CC,NR,NN,DEG,NN,AD,CD,NN,PU,AD,NR,NN,AD,VC,NN,DEG,NN,PU,AD,VE,NN,NN,PU}";"{O,O,O,O,O,PERSON,O,O,PERSON,O,O,O,O,MISC,MISC,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O}";"{det,loc,case,"""",case,nn,conj,cc,nn,assmod,case,nsubj,advmod,nummod,"""","""",advmod,nn,nsubj,advmod,cop,assmod,case,conj,"""",advmod,conj,nn,dobj,""""}";"{2,15,2,0,10,7,10,10,10,12,10,15,15,15,0,0,24,19,24,24,24,24,22,15,0,27,15,29,27,0}"
"5ee1175667e702e1_2_5_5";5;5;"5ee1175667e702e1_2_8_8";8;8;"5ee1175667e702e1";2;"本案中，由于张先生与王女士的女儿不到两周岁，而王女士又是孩子的母亲，且有稳定工作。";"{本,案,中,，,由于,张,先生,与,王,女士,的,女儿,不到,两,周岁,，,而,王,女士,又,是,孩子,的,母亲,，,且,有,稳定,工作,。}";"{本,案,中,，,由于,张,先生,与,王,女士,的,女儿,不到,两,周岁,，,而,王,女士,又,是,孩子,的,母亲,，,且,有,稳定,工作,。}";"{DT,NN,LC,PU,P,NR,NN,CC,NR,NN,DEG,NN,AD,CD,NN,PU,AD,NR,NN,AD,VC,NN,DEG,NN,PU,AD,VE,NN,NN,PU}";"{O,O,O,O,O,PERSON,O,O,PERSON,O,O,O,O,MISC,MISC,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O}";"{det,loc,case,"""",case,nn,conj,cc,nn,assmod,case,nsubj,advmod,nummod,"""","""",advmod,nn,nsubj,advmod,cop,assmod,case,conj,"""",advmod,conj,nn,dobj,""""}";"{2,15,2,0,10,7,10,10,10,12,10,15,15,15,0,0,24,19,24,24,24,24,22,15,0,27,15,29,27,0}"
"42955a42c1995830_1_0_0";0;0;"42955a42c1995830_1_19_19";19;19;"42955a42c1995830";1;"陈某向记者哭诉：2012年，原籍山东的她在汉打工时，与家住黄陂区前川街的黄某（化名）结识，并很快恋爱结婚。";"{陈,某,向,记者,哭诉,：,2012年,，,原籍,山东,的,她,在,汉打,工时,，,与,家,住,黄陂区,前,川街,的,黄某,（,化名,）,结识,，,并,很快,恋爱,结婚,。}";"{陈,某,向,记者,哭诉,：,2012年,，,原籍,山东,的,她,在,汉打,工时,，,与,家,住,黄陂区,前,川街,的,黄某,（,化名,）,结识,，,并,很快,恋爱,结婚,。}";"{NR,DT,P,NN,VV,PU,NT,PU,NN,NR,DEG,PN,P,NR,NN,PU,P,NN,VV,NR,JJ,NR,DEG,NR,PU,NN,PU,VV,PU,CC,AD,VV,NN,PU}";"{PERSON,O,O,O,O,O,MISC,O,O,GPE,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O,O,O}";"{nn,det,case,prep,relcl,"""",tmod,"""",nn,assmod,case,nsubj,case,nn,prep,"""",case,prep,ccomp,dobj,amod,assmod,case,nsubj,"""",prnmod,"""","""","""",cc,advmod,dep,dobj,""""}";"{24,22,4,5,22,0,19,0,12,12,10,19,15,15,19,0,18,19,5,19,22,24,22,28,0,24,0,0,0,28,32,28,32,0}"
"ce5370f668149e34_1_46_46";46;46;"ce5370f668149e34_1_6_6";6;6;"ce5370f668149e34";1;"天有不测风云，2012年，董国兵的妻子谢翠英在背烟叶回家途中摔倒，导致颈椎骨2、3节断裂，住院花去了6万多元钱，这一次花的钱基本全是找亲戚借的，谢翠英出院后也不能干重活了，这让董国兵一家再一次陷入困境。";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{NN,VV,NN,PU,NT,PU,NR,DEG,NN,NR,VV,P,NN,NN,VV,NN,VV,PU,VV,NN,CD,PU,CD,M,NN,PU,VV,VV,AS,CD,JJ,NN,PU,DT,CD,M,VV,DEC,NN,AD,AD,VC,VV,NN,VV,PU,NR,NR,VV,LC,AD,AD,VA,VV,AS,PU,PN,VV,NR,CD,M,AD,VV,NN,PU}";"{O,O,O,O,MISC,O,PERSON,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,MISC,MISC,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O}";"{nsubj,"""",dobj,"""",dep,"""",assmod,case,nn,nsubj,mmod,case,nn,prep,conj,dobj,dep,"""",conj,dobj,nummod,"""",nummod,clf,nsubj,"""",mmod,dep,asp,nummod,amod,dobj,"""",det,nummod,dep,relcl,mark,nsubj,advmod,advmod,cop,conj,dobj,conj,"""",nn,nsubj,loc,case,advmod,neg,conj,dep,asp,"""",nsubj,conj,nsubj,nummod,dep,advmod,ccomp,dobj,""""}";"{2,0,2,0,15,0,9,7,10,15,15,14,14,15,2,15,15,0,2,19,24,0,24,25,28,0,28,19,28,32,32,28,0,39,36,34,39,37,43,43,43,43,2,43,43,0,48,49,53,49,53,53,2,53,54,0,58,2,63,61,63,63,58,63,0}"
"ce5370f668149e34_1_6_6";6;6;"ce5370f668149e34_1_9_9";9;9;"ce5370f668149e34";1;"天有不测风云，2012年，董国兵的妻子谢翠英在背烟叶回家途中摔倒，导致颈椎骨2、3节断裂，住院花去了6万多元钱，这一次花的钱基本全是找亲戚借的，谢翠英出院后也不能干重活了，这让董国兵一家再一次陷入困境。";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{NN,VV,NN,PU,NT,PU,NR,DEG,NN,NR,VV,P,NN,NN,VV,NN,VV,PU,VV,NN,CD,PU,CD,M,NN,PU,VV,VV,AS,CD,JJ,NN,PU,DT,CD,M,VV,DEC,NN,AD,AD,VC,VV,NN,VV,PU,NR,NR,VV,LC,AD,AD,VA,VV,AS,PU,PN,VV,NR,CD,M,AD,VV,NN,PU}";"{O,O,O,O,MISC,O,PERSON,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,MISC,MISC,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O}";"{nsubj,"""",dobj,"""",dep,"""",assmod,case,nn,nsubj,mmod,case,nn,prep,conj,dobj,dep,"""",conj,dobj,nummod,"""",nummod,clf,nsubj,"""",mmod,dep,asp,nummod,amod,dobj,"""",det,nummod,dep,relcl,mark,nsubj,advmod,advmod,cop,conj,dobj,conj,"""",nn,nsubj,loc,case,advmod,neg,conj,dep,asp,"""",nsubj,conj,nsubj,nummod,dep,advmod,ccomp,dobj,""""}";"{2,0,2,0,15,0,9,7,10,15,15,14,14,15,2,15,15,0,2,19,24,0,24,25,28,0,28,19,28,32,32,28,0,39,36,34,39,37,43,43,43,43,2,43,43,0,48,49,53,49,53,53,2,53,54,0,58,2,63,61,63,63,58,63,0}"
"ce5370f668149e34_1_58_58";58;58;"ce5370f668149e34_1_9_9";9;9;"ce5370f668149e34";1;"天有不测风云，2012年，董国兵的妻子谢翠英在背烟叶回家途中摔倒，导致颈椎骨2、3节断裂，住院花去了6万多元钱，这一次花的钱基本全是找亲戚借的，谢翠英出院后也不能干重活了，这让董国兵一家再一次陷入困境。";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{NN,VV,NN,PU,NT,PU,NR,DEG,NN,NR,VV,P,NN,NN,VV,NN,VV,PU,VV,NN,CD,PU,CD,M,NN,PU,VV,VV,AS,CD,JJ,NN,PU,DT,CD,M,VV,DEC,NN,AD,AD,VC,VV,NN,VV,PU,NR,NR,VV,LC,AD,AD,VA,VV,AS,PU,PN,VV,NR,CD,M,AD,VV,NN,PU}";"{O,O,O,O,MISC,O,PERSON,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,MISC,MISC,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O}";"{nsubj,"""",dobj,"""",dep,"""",assmod,case,nn,nsubj,mmod,case,nn,prep,conj,dobj,dep,"""",conj,dobj,nummod,"""",nummod,clf,nsubj,"""",mmod,dep,asp,nummod,amod,dobj,"""",det,nummod,dep,relcl,mark,nsubj,advmod,advmod,cop,conj,dobj,conj,"""",nn,nsubj,loc,case,advmod,neg,conj,dep,asp,"""",nsubj,conj,nsubj,nummod,dep,advmod,ccomp,dobj,""""}";"{2,0,2,0,15,0,9,7,10,15,15,14,14,15,2,15,15,0,2,19,24,0,24,25,28,0,28,19,28,32,32,28,0,39,36,34,39,37,43,43,43,43,2,43,43,0,48,49,53,49,53,53,2,53,54,0,58,2,63,61,63,63,58,63,0}"
"ce5370f668149e34_1_46_46";46;46;"ce5370f668149e34_1_58_58";58;58;"ce5370f668149e34";1;"天有不测风云，2012年，董国兵的妻子谢翠英在背烟叶回家途中摔倒，导致颈椎骨2、3节断裂，住院花去了6万多元钱，这一次花的钱基本全是找亲戚借的，谢翠英出院后也不能干重活了，这让董国兵一家再一次陷入困境。";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{天有,不测,风云,，,2012年,，,董国兵,的,妻子,谢,翠英,在,背,烟叶,回家,途中,摔倒,，,导致,颈椎骨,2,、,3,节,断裂,，,住院,花去,了,6万,多元,钱,，,这,一,次,花,的,钱,基本,全,是,找,亲戚,借的,，,谢,翠英,出院,后,也,不,能干,重活,了,，,这,让,董国兵,一,家,再一次,陷入,困境,。}";"{NN,VV,NN,PU,NT,PU,NR,DEG,NN,NR,VV,P,NN,NN,VV,NN,VV,PU,VV,NN,CD,PU,CD,M,NN,PU,VV,VV,AS,CD,JJ,NN,PU,DT,CD,M,VV,DEC,NN,AD,AD,VC,VV,NN,VV,PU,NR,NR,VV,LC,AD,AD,VA,VV,AS,PU,PN,VV,NR,CD,M,AD,VV,NN,PU}";"{O,O,O,O,MISC,O,PERSON,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,MISC,MISC,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O,O,O,O,O,O,PERSON,O,O,O,O,O,O}";"{nsubj,"""",dobj,"""",dep,"""",assmod,case,nn,nsubj,mmod,case,nn,prep,conj,dobj,dep,"""",conj,dobj,nummod,"""",nummod,clf,nsubj,"""",mmod,dep,asp,nummod,amod,dobj,"""",det,nummod,dep,relcl,mark,nsubj,advmod,advmod,cop,conj,dobj,conj,"""",nn,nsubj,loc,case,advmod,neg,conj,dep,asp,"""",nsubj,conj,nsubj,nummod,dep,advmod,ccomp,dobj,""""}";"{2,0,2,0,15,0,9,7,10,15,15,14,14,15,2,15,15,0,2,19,24,0,24,25,28,0,28,19,28,32,32,28,0,39,36,34,39,37,43,43,43,43,2,43,43,0,48,49,53,49,53,53,2,53,54,0,58,2,63,61,63,63,58,63,0}"
"0514baf1f7b4955b_1_10_10";10;10;"0514baf1f7b4955b_1_13_13";13;13;"0514baf1f7b4955b";1;"前两天，想必大家都被韩国男星宋仲基与女星宋慧乔宣布结婚的消息刷屏了。";"{前,两,天,，,想必,大家,都,被,韩国,男星,宋仲基,与,女星,宋慧乔,宣布,结婚,的,消息,刷屏,了,。}";"{前,两,天,，,想必,大家,都,被,韩国,男星,宋仲基,与,女星,宋慧乔,宣布,结婚,的,消息,刷屏,了,。}";"{DT,CD,M,PU,AD,PN,AD,SB,NR,NN,NR,CC,NN,NR,VV,VV,DEC,NN,VV,AS,PU}";"{MISC,MISC,MISC,O,O,O,O,O,GPE,O,PERSON,O,O,PERSON,O,O,O,O,O,O,O}";"{dep,nummod,dep,"""",advmod,nsubj,advmod,auxpass,nn,nn,conj,cc,nn,nsubj,"""",relcl,mark,nsubj,ccomp,asp,""""}";"{15,3,1,0,15,15,15,15,10,13,13,13,14,15,0,18,16,19,15,19,0}"
"f2d8dfd5a03459ff_2_10_11";10;11;"f2d8dfd5a03459ff_2_7_8";7;8;"f2d8dfd5a03459ff";2;"照片里两个年轻人分别叫Lolita Osmanova和Gaspar Avdolyan，两人都来自俄罗斯，这对小年轻刚刚在美国举办了他们的婚礼。";"{照片,里,两,个,年轻人,分别,叫,Lolita,Osmanova,和,Gaspar,Avdolyan,，,两,人,都,来自,俄罗斯,，,这,对,小年轻,刚刚,在,美国,举办,了,他们,的,婚礼,。}";"{照片,里,两,个,年轻人,分别,叫,lolita,osmanova,和,gaspar,avdolyan,，,两,人,都,来自,俄罗斯,，,这,对,小年轻,刚刚,在,美国,举办,了,他们,的,婚礼,。}";"{NN,LC,CD,M,NN,AD,VV,NR,NR,CC,NR,NR,PU,CD,NN,AD,VV,NR,PU,PN,P,NN,AD,P,NR,VV,AS,PN,DEG,NN,PU}";"{O,O,MISC,O,O,O,O,PERSON,PERSON,O,PERSON,PERSON,O,MISC,O,O,O,GPE,O,O,O,O,O,O,GPE,O,O,O,O,O,O}";"{dep,case,nummod,clf,nsubj,advmod,"""",nn,conj,cc,nn,dobj,"""",nummod,nsubj,advmod,conj,dobj,"""",nsubj,case,prep,advmod,case,prep,conj,asp,assmod,case,dobj,""""}";"{5,1,4,5,7,7,0,9,12,12,12,7,0,15,17,17,7,17,0,26,22,26,26,25,26,7,26,30,28,26,0}"
"f63b57989e1ece98_3_0_0";0;0;"f63b57989e1ece98_3_3_3";3;3;"f63b57989e1ece98";3;"程业旭的妻子刘瑞云回忆称，就在当天程业旭送米出门后不久，就有几名年轻男子进店内买东西，后来发现一名男子正在通往阁楼的梯子上翻找纸箱内的物品。";"{程业旭,的,妻子,刘瑞云,回忆,称,，,就,在,当天,程业旭,送,米,出门,后,不久,，,就,有,几,名,年轻,男子,进,店内,买,东西,，,后来,发现,一,名,男子,正在,通往,阁楼,的,梯子,上翻,找,纸箱,内,的,物品,。}";"{程业旭,的,妻子,刘瑞云,回忆,称,，,就,在,当天,程业旭,送,米,出门,后,不久,，,就,有,几,名,年轻,男子,进,店内,买,东西,，,后来,发现,一,名,男子,正在,通往,阁楼,的,梯子,上翻,找,纸箱,内,的,物品,。}";"{NR,DEG,NN,NR,VV,VV,PU,AD,P,NT,NR,VV,NN,VV,LC,AD,PU,AD,VE,CD,M,JJ,NN,VV,NN,VV,NN,PU,AD,VV,CD,M,NN,AD,VV,NN,DEC,NN,NN,VV,NN,LC,DEG,NN,PU}";"{PERSON,O,O,PERSON,O,O,O,O,O,MISC,MISC,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O}";"{assmod,case,nsubj,nsubj,dep,rcomp,"""",advmod,case,tmod,nsubj,prep,nsubj,ccomp,case,advmod,"""",advmod,"""",nummod,clf,amod,dobj,conj,dobj,conj,dobj,"""",advmod,relcl,nummod,clf,nsubj,advmod,ccomp,dobj,mark,nn,nsubj,conj,assmod,case,case,dobj,""""}";"{3,1,19,5,19,5,0,19,12,12,12,19,14,12,12,19,0,19,0,21,23,23,19,19,24,19,26,0,30,39,32,33,35,35,30,35,30,39,40,19,44,41,41,40,0}"
"86faee1a881ece98_1_0_0";0;0;"86faee1a881ece98_1_3_3";3;3;"86faee1a881ece98";1;"刘先生和太太李女士，今年都是３０岁，大学毕业，刘先生在企业工作，李女士是人民教师，儿子２岁。";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{NR,CC,NN,NR,NN,PU,NT,AD,VC,CD,M,PU,NN,VV,PU,NR,NN,P,NN,NN,PU,NR,NN,VC,NN,NN,PU,NN,CD,M,PU}";"{PERSON,O,O,PERSON,O,O,MISC,O,O,MISC,MISC,O,O,O,O,PERSON,O,O,O,O,O,PERSON,O,O,O,O,O,O,MISC,MISC,O}";"{conj,cc,nn,nn,nsubj,"""",dep,advmod,"""",nummod,dep,"""",nsubj,conj,"""",nn,dep,case,nn,prep,"""",nn,nsubj,cop,nn,conj,"""",nsubj,nummod,conj,""""}";"{3,3,5,5,9,0,9,9,0,11,9,0,14,9,0,17,26,20,20,26,0,23,26,26,26,9,0,30,30,9,0}"
"86faee1a881ece98_1_15_15";15;15;"86faee1a881ece98_1_3_3";3;3;"86faee1a881ece98";1;"刘先生和太太李女士，今年都是３０岁，大学毕业，刘先生在企业工作，李女士是人民教师，儿子２岁。";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{NR,CC,NN,NR,NN,PU,NT,AD,VC,CD,M,PU,NN,VV,PU,NR,NN,P,NN,NN,PU,NR,NN,VC,NN,NN,PU,NN,CD,M,PU}";"{PERSON,O,O,PERSON,O,O,MISC,O,O,MISC,MISC,O,O,O,O,PERSON,O,O,O,O,O,PERSON,O,O,O,O,O,O,MISC,MISC,O}";"{conj,cc,nn,nn,nsubj,"""",dep,advmod,"""",nummod,dep,"""",nsubj,conj,"""",nn,dep,case,nn,prep,"""",nn,nsubj,cop,nn,conj,"""",nsubj,nummod,conj,""""}";"{3,3,5,5,9,0,9,9,0,11,9,0,14,9,0,17,26,20,20,26,0,23,26,26,26,9,0,30,30,9,0}"
"86faee1a881ece98_1_0_0";0;0;"86faee1a881ece98_1_15_15";15;15;"86faee1a881ece98";1;"刘先生和太太李女士，今年都是３０岁，大学毕业，刘先生在企业工作，李女士是人民教师，儿子２岁。";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{NR,CC,NN,NR,NN,PU,NT,AD,VC,CD,M,PU,NN,VV,PU,NR,NN,P,NN,NN,PU,NR,NN,VC,NN,NN,PU,NN,CD,M,PU}";"{PERSON,O,O,PERSON,O,O,MISC,O,O,MISC,MISC,O,O,O,O,PERSON,O,O,O,O,O,PERSON,O,O,O,O,O,O,MISC,MISC,O}";"{conj,cc,nn,nn,nsubj,"""",dep,advmod,"""",nummod,dep,"""",nsubj,conj,"""",nn,dep,case,nn,prep,"""",nn,nsubj,cop,nn,conj,"""",nsubj,nummod,conj,""""}";"{3,3,5,5,9,0,9,9,0,11,9,0,14,9,0,17,26,20,20,26,0,23,26,26,26,9,0,30,30,9,0}"
"86faee1a881ece98_1_0_0";0;0;"86faee1a881ece98_1_21_21";21;21;"86faee1a881ece98";1;"刘先生和太太李女士，今年都是３０岁，大学毕业，刘先生在企业工作，李女士是人民教师，儿子２岁。";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{刘先生,和,太太,李,女士,，,今年,都,是,３０,岁,，,大学,毕业,，,刘,先生,在,企业,工作,，,李,女士,是,人民,教师,，,儿子,２,岁,。}";"{NR,CC,NN,NR,NN,PU,NT,AD,VC,CD,M,PU,NN,VV,PU,NR,NN,P,NN,NN,PU,NR,NN,VC,NN,NN,PU,NN,CD,M,PU}";"{PERSON,O,O,PERSON,O,O,MISC,O,O,MISC,MISC,O,O,O,O,PERSON,O,O,O,O,O,PERSON,O,O,O,O,O,O,MISC,MISC,O}";"{conj,cc,nn,nn,nsubj,"""",dep,advmod,"""",nummod,dep,"""",nsubj,conj,"""",nn,dep,case,nn,prep,"""",nn,nsubj,cop,nn,conj,"""",nsubj,nummod,conj,""""}";"{3,3,5,5,9,0,9,9,0,11,9,0,14,9,0,17,26,20,20,26,0,23,26,26,26,9,0,30,30,9,0}"
